variable,grp,avg_time,avg_amp,avg_duration,n_durations,solution
o12,-1225,-1.2244991632653058e6,1.247899671499656,20.481632653063127,49,ZB23.R01
o12,-1226,-1.225493845833333e6,1.136580364751546,20.941666666665697,48,ZB23.R01
o12,-1227,-1.226486161702128e6,0.9380670142615912,20.970212765959428,47,ZB23.R01
o12,-1228,-1.227498012e6,1.42086395223354,20.36,50,ZB23.R01
o12,-1229,-1.2285099265306122e6,1.471710502380795,20.408163265306122,49,ZB23.R01
o12,-1230,-1.2295074042553192e6,0.9653001784200399,20.902127659572486,47,ZB23.R01
o12,-1231,-1.230494236734694e6,1.1406416815338525,20.489795918367346,49,ZB23.R01
o12,-1232,-1.231493412244898e6,1.5264927309752865,20.440816326532513,49,ZB23.R01
o12,-1233,-1.2324865041666667e6,1.1543270386241846,20.875,48,ZB23.R01
o12,-1234,-1.2334978734693879e6,1.4416233825522229,20.367346938775512,49,ZB23.R01
o12,-1235,-1.2344987346938774e6,1.4583570130123873,20.359183673466536,49,ZB23.R01
o12,-1236,-1.2355076125e6,1.0472432744476563,20.97500000000097,48,ZB23.R01
o12,-1237,-1.2365014897959186e6,1.3095818058156556,20.383673469388704,49,ZB23.R01
o12,-1238,-1.2374987265306127e6,1.0971866427947035,20.391836734692927,49,ZB23.R01
o12,-1239,-1.2384969208333336e6,0.9903179271644427,20.875,48,ZB23.R01
o12,-1240,-1.239499114285714e6,1.5647486053166697,20.4000000000019,49,ZB23.R01
o12,-1241,-1.24049787755102e6,1.4156788179926931,20.391836734692927,49,ZB23.R01
o12,-1242,-1.241507275e6,1.2709947926440515,20.75,48,ZB23.R01
o12,-1243,-1.242496844897959e6,1.5096336253486786,20.33469387754912,49,ZB23.R01
o12,-1244,-1.243492628571429e6,1.0885165475501803,20.408163265306122,49,ZB23.R01
o12,-1245,-1.2444908833333333e6,0.899196190850366,20.833333333333332,48,ZB23.R01
o12,-1246,-1.2454994760000003e6,1.249543718900984,20.344000000003724,50,ZB23.R01
o12,-1247,-1.2464965041666667e6,1.1651056273553728,20.641666666662786,48,ZB23.R01
o12,-1248,-1.2474945125e6,0.7853100400738117,20.658333333335275,48,ZB23.R01
o12,-1249,-1.2485018448979594e6,1.2095655786357518,20.538775510202182,49,ZB23.R01
o12,-1250,-1.2494967918367349e6,1.2767093143226826,20.342857142858094,49,ZB23.R01
o2,-1201,-1.2004967916666667e6,1.7378874999480187,20.60000000000097,48,ZB23.R01
o2,-1202,-1.2014967387755103e6,1.7466477607104403,20.514285714284764,49,ZB23.R01
o2,-1203,-1.202497995833333e6,1.1805698755444571,20.67500000000291,48,ZB23.R01
o2,-1204,-1.2034982408163266e6,1.4919424779273374,20.612244897959183,49,ZB23.R01
o2,-1205,-1.2044954041666668e6,1.6760580354637016,20.625,48,ZB23.R01
o2,-1206,-1.2054953265306125e6,1.2989806368422923,20.644897959180824,49,ZB23.R01
o2,-1207,-1.2064947291666663e6,1.9023396585034777,20.59166666666958,48,ZB23.R01
o2,-1208,-1.2074931265306121e6,1.676290828929886,20.538775510202182,49,ZB23.R01
o2,-1209,-1.2085038653061225e6,1.365574332155051,20.612244897959183,49,ZB23.R01
o2,-1210,-1.209502225e6,1.734253442399211,20.533333333335275,48,ZB23.R01
o2,-1211,-1.210497914285714e6,1.208517841204999,20.595918367345988,49,ZB23.R01
o2,-1212,-1.2114966500000001e6,1.0550544112631075,20.60000000000097,48,ZB23.R01
o2,-1213,-1.2124932816326527e6,1.7060911877445053,20.571428571428573,49,ZB23.R01
o2,-1214,-1.213499869387755e6,1.4745473292292208,20.58775510204177,49,ZB23.R01
o2,-1215,-1.2144979875e6,1.4482130666623607,20.47499999999612,48,ZB23.R01
o2,-1216,-1.215494224489796e6,1.7621531155988404,20.481632653063127,49,ZB23.R01
o2,-1217,-1.2164982408163266e6,1.3481274109818582,20.546938775511155,49,ZB23.R01
o2,-1218,-1.217504744e6,1.0133588333036747,20.16,50,ZB23.R01
o2,-1219,-1.2185005125000004e6,1.4577973303697138,20.541666666666668,48,ZB23.R01
o2,-1220,-1.2195024079999998e6,1.247124602222955,20.16,50,ZB23.R01
o2,-1221,-1.2205014163265305e6,0.8898677161677738,20.53061224489796,49,ZB23.R01
o2,-1222,-1.2215069102040816e6,1.4709170502465927,20.33469387754912,49,ZB23.R01
o2,-1223,-1.2225096408163263e6,1.216104399170533,20.50612244898054,49,ZB23.R01
o2,-1224,-1.2235018040816325e6,0.9609793654509319,20.13061224489606,49,ZB23.R01
o2,-1225,-1.2244991224489796e6,1.2707096383599081,20.497959183676322,49,ZB23.R01
o2,-1226,-1.225500269387755e6,1.1009649392773497,20.50612244898054,49,ZB23.R01
o2,-1227,-1.2265014938775508e6,0.9045238096938931,20.114285714282865,49,ZB23.R01
o2,-1228,-1.227498008e6,1.4975686087770286,20.32,50,ZB23.R01
o2,-1229,-1.2285100040816327e6,1.5357829879082026,20.43265306122354,49,ZB23.R01
o2,-1230,-1.2294985469387756e6,0.9453176908326554,20.081632653061224,49,ZB23.R01
o2,-1231,-1.230494224489796e6,1.1392310100395926,20.46530612244993,49,ZB23.R01
o2,-1232,-1.231493363265306e6,1.5773066202925448,20.424489795919317,49,ZB23.R01
o2,-1233,-1.2324951061224488e6,1.1639433765753062,20.49795918367157,49,ZB23.R01
o2,-1234,-1.2334978938775512e6,1.5245317688871873,20.35918367347129,49,ZB23.R01
o2,-1235,-1.2344987102040816e6,1.53423391582193,20.35918367347129,49,ZB23.R01
o2,-1236,-1.235494128e6,0.9895191950469184,20.08,50,ZB23.R01
o2,-1237,-1.2365015877551022e6,1.366174675850028,20.39999999999715,49,ZB23.R01
o2,-1238,-1.237498693877551e6,1.1406365475419324,20.424489795919317,49,ZB23.R01
o2,-1239,-1.23849973877551e6,0.9730167967533802,20.440816326532513,49,ZB23.R01
